eventName;date;locationCountry;locationCity;attendees;maxCapacity;currentAttendees;eventImg;eventBgImg;description;createdBy
Tomorrowland;2025-06-01 0:00:00;Belgium;Boom;daniel12,noah79,emma95,emma82,ava91,sofía61;5000;6;/img/events/0.jpg;/img/events/bg_0.jpg;International music festival Tomorrowland.;daniel0
Coachella;2025-06-08 0:00:00;USA;Indio;emma47,mia21,emma20,lucas18,lucas38,daniel90,liam71,ava37,mia58,daniel12,sofía22,mia32;5000;12;/img/events/1.jpg;/img/events/bg_1.jpg;International music festival Coachella.;daniel0
Glastonbury;2025-06-15 0:00:00;UK;Pilton;liam41,liam34,ava19,liam63,daniel90,emma82;5000;6;/img/events/2.jpg;/img/events/bg_2.jpg;International music festival Glastonbury.;daniel0
Primavera Sound;2025-06-22 0:00:00;Spain;Barcelona;sofía75,daniel12,ava46,liam14,laura2,noah84,mia58,ava19,jonas98,noah72,lucas38,emma82,emma1,mia77;5000;14;/img/events/3.jpg;/img/events/bg_3.jpg;International music festival Primavera Sound.;daniel0
Rock in Rio;2025-06-29 0:00:00;Brazil;Rio de Janeiro;jonas40,noah79,mia81,liam63,noah84,liam14,jonas33;5000;7;/img/events/4.jpg;/img/events/bg_4.jpg;International music festival Rock in Rio.;daniel0
Fuji Rock;2025-07-06 0:00:00;Japan;Niigata;emma35,lucas83,lucas85,emma82,laura2,emma1,mia5,noah26,mia11,emma47,daniel90,daniel86,sofía53;5000;13;/img/events/5.jpg;/img/events/bg_5.jpg;International music festival Fuji Rock.;daniel0
Lollapalooza Paris;2025-07-13 0:00:00;France;Paris;ava91,laura87,mia58,lucas18,ava74,noah79,jonas25,liam71;5000;8;/img/events/6.jpg;/img/events/bg_6.jpg;International music festival Lollapalooza Paris.;daniel0
Ultra Miami;2025-07-20 0:00:00;USA;Miami;jonas68,emma70,noah30,ava80,daniel48,laura9,daniel67,noah26,noah54,emma1,laura13;5000;11;/img/events/7.jpg;/img/events/bg_7.jpg;International music festival Ultra Miami.;daniel0
Sziget;2025-07-27 0:00:00;Hungary;Budapest;liam71,laura13,laura2,emma35,ava74,liam65,sofía97,noah26,emma82,noah54,jonas33,ava6;5000;12;/img/events/8.jpg;/img/events/bg_8.jpg;International music festival Sziget.;daniel0
Sonar;2025-08-03 0:00:00;Spain;Barcelona;laura87,lucas59,daniel86,jonas98,noah26,lucas45,lucas16,liam34,emma82;5000;9;/img/events/9.jpg;/img/events/bg_9.jpg;International music festival Sonar.;daniel0
